Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 21 Aug 1998 (33),Oostende (1),2-1,1-1,Standard (1)
?,(Fri) 21 Aug 1998 (33),St Truiden (1),0-2,0-1,Mouscron (1)
?,(Sat) 22 Aug 1998 (33),Aalst (1),0-2,0-0,Club Brugge (1)
?,(Sat) 22 Aug 1998 (33),Anderlecht (1),1-1,0-1,Charleroi (1)
?,(Sat) 22 Aug 1998 (33),Germinal (1),0-3,0-0,Westerlo (1)
?,(Sat) 22 Aug 1998 (33),Lierse (1),1-2,0-2,Gent (1)
?,(Sat) 22 Aug 1998 (33),Lokeren (1),2-0,0-0,Genk (1)
?,(Sat) 22 Aug 1998 (33),Lommel (1),2-1,1-0,Beveren (1)
?,(Sun) 23 Aug 1998 (33),Harelbeke (1),1-0,1-0,Kortrijk (1)
?,(Sat) 29 Aug 1998 (34),Beveren (2),2-1,0-0,Anderlecht (2)
?,(Sat) 29 Aug 1998 (34),Club Brugge (2),2-1,2-1,Germinal (2)
?,(Sat) 29 Aug 1998 (34),Gent (2),1-1,0-0,Oostende (2)
?,(Sat) 29 Aug 1998 (34),Mouscron (2),2-0,0-0,Lommel (2)
?,(Sat) 29 Aug 1998 (34),Standard (2),3-0,0-0,Aalst (2)
?,(Sat) 29 Aug 1998 (34),Westerlo (2),1-4,1-1,St Truiden (2)
?,(Sun) 30 Aug 1998 (34),Charleroi (2),2-1,0-0,Harelbeke (2)
?,(Sun) 30 Aug 1998 (34),Genk (2),3-1,1-0,Lierse (2)
?,(Sun) 30 Aug 1998 (34),Kortrijk (2),0-6,0-3,Lokeren (2)
?,(Tue) 1 Sep 1998 (35),Anderlecht (3),1-1,1-0,Mouscron (3)
?,(Wed) 2 Sep 1998 (35),Aalst (3),5-0,2-0,Germinal (3)
?,(Wed) 2 Sep 1998 (35),Harelbeke (3),1-1,0-0,Beveren (3)
?,(Wed) 2 Sep 1998 (35),Lierse (3),5-1,2-1,Kortrijk (3)
?,(Wed) 2 Sep 1998 (35),Lokeren (3),3-1,2-1,Charleroi (3)
?,(Wed) 2 Sep 1998 (35),Lommel (3),0-1,0-0,Westerlo (3)
?,(Wed) 2 Sep 1998 (35),St Truiden (3),1-1,0-0,Club Brugge (3)
?,(Wed) 2 Sep 1998 (35),Standard (3),2-0,1-0,Gent (3)
?,(Sat) 5 Sep 1998 (35),Beveren (4),1-2,0-1,Lokeren (4)
?,(Sat) 5 Sep 1998 (35),Gent (4),2-2,2-1,Aalst (4)
?,(Sat) 5 Sep 1998 (35),Germinal (4),1-0,1-0,St Truiden (4)
?,(Sat) 5 Sep 1998 (35),Mouscron (4),2-2,1-2,Harelbeke (4)
?,(Sat) 5 Sep 1998 (35),Westerlo (4),6-0,3-0,Anderlecht (4)
?,(Sun) 6 Sep 1998 (35),Genk (3),2-1,1-1,Standard (4)
?,(Sun) 6 Sep 1998 (35),Kortrijk (4),2-0,0-0,Oostende (3)
?,(Wed) 9 Sep 1998 (36),Aalst (5),1-3,0-1,St Truiden (5)
?,(Wed) 9 Sep 1998 (36),Anderlecht (5),2-3,0-1,Club Brugge (4)
?,(Wed) 9 Sep 1998 (36),Gent (5),0-1,0-0,Genk (4)
?,(Wed) 9 Sep 1998 (36),Harelbeke (5),1-2,1-1,Westerlo (5)
?,(Wed) 9 Sep 1998 (36),Lierse (4),3-0,2-0,Beveren (5)
?,(Wed) 9 Sep 1998 (36),Lokeren (5),0-0,0-0,Mouscron (5)
?,(Wed) 9 Sep 1998 (36),Lommel (4),1-2,0-1,Germinal (5)
?,(Wed) 9 Sep 1998 (36),Oostende (4),0-0,0-0,Charleroi (4)
?,(Wed) 9 Sep 1998 (36),Standard (5),2-1,1-0,Kortrijk (5)
?,(Sat) 12 Sep 1998 (36),Beveren (6),5-0,4-0,Oostende (5)
?,(Sat) 12 Sep 1998 (36),Genk (5),2-0,1-0,Aalst (6)
?,(Sat) 12 Sep 1998 (36),Germinal (6),0-3,0-0,Anderlecht (6)
?,(Sat) 12 Sep 1998 (36),Mouscron (6),0-0,0-0,Lierse (5)
?,(Sat) 12 Sep 1998 (36),St Truiden (6),2-1,1-1,Lommel (5)
?,(Sat) 12 Sep 1998 (36),Westerlo (6),4-3,2-1,Lokeren (6)
?,(Sun) 13 Sep 1998 (36),Charleroi (5),1-0,0-0,Standard (6)
?,(Sun) 13 Sep 1998 (36),Club Brugge (5),1-0,1-0,Harelbeke (6)
?,(Sun) 13 Sep 1998 (36),Kortrijk (6),3-4,1-2,Gent (6)
?,(Fri) 18 Sep 1998 (37),Lokeren (7),2-0,0-0,Club Brugge (6)
?,(Sat) 19 Sep 1998 (37),Anderlecht (7),1-1,1-0,St Truiden (7)
?,(Sat) 19 Sep 1998 (37),Genk (6),3-1,1-0,Kortrijk (7)
?,(Sat) 19 Sep 1998 (37),Gent (7),1-1,1-1,Charleroi (6)
?,(Sat) 19 Sep 1998 (37),Lierse (6),5-1,2-0,Westerlo (7)
?,(Sat) 19 Sep 1998 (37),Oostende (6),2-4,0-3,Mouscron (7)
?,(Sat) 19 Sep 1998 (37),Standard (7),1-2,0-1,Beveren (7)
?,(Sun) 20 Sep 1998 (37),Aalst (7),3-1,1-0,Lommel (6)
?,(Sun) 20 Sep 1998 (37),Harelbeke (7),0-4,0-3,Germinal (7)
?,(Wed) 23 Sep 1998 (38),Charleroi (7),5-0,?,Lierse (7)
?,(Wed) 23 Sep 1998 (38),Club Brugge (7),0-1,0-0,Lommel (7)
?,(Wed) 23 Sep 1998 (38),Oostende (7),1-1,0-0,Genk (7)
?,(Fri) 25 Sep 1998 (38),Mouscron (8),1-5,1-1,Standard (8)
?,(Sat) 26 Sep 1998 (38),Beveren (8),0-3,0-1,Gent (8)
?,(Sat) 26 Sep 1998 (38),Charleroi (8),1-1,0-1,Genk (8)
?,(Sat) 26 Sep 1998 (38),Club Brugge (8),3-1,0-0,Lierse (8)
?,(Sat) 26 Sep 1998 (38),Germinal (8),1-1,0-1,Lokeren (8)
?,(Sat) 26 Sep 1998 (38),Lommel (8),2-2,1-1,Anderlecht (8)
?,(Sat) 26 Sep 1998 (38),St Truiden (8),1-0,0-0,Harelbeke (8)
?,(Sat) 26 Sep 1998 (38),Westerlo (8),7-0,4-0,Oostende (8)
?,(Sun) 27 Sep 1998 (38),Kortrijk (8),3-4,2-2,Aalst (8)
?,(Fri) 2 Oct 1998 (39),Gent (9),3-0,1-0,Mouscron (9)
?,(Sat) 3 Oct 1998 (39),Genk (9),1-0,0-0,Beveren (9)
?,(Sat) 3 Oct 1998 (39),Lierse (9),1-0,1-0,Germinal (9)
?,(Sat) 3 Oct 1998 (39),Lokeren (9),2-1,0-1,St Truiden (9)
?,(Sat) 3 Oct 1998 (39),Oostende (9),1-4,1-1,Club Brugge (9)
?,(Sat) 3 Oct 1998 (39),Standard (9),2-0,1-0,Westerlo (9)
?,(Sun) 4 Oct 1998 (39),Aalst (9),0-0,0-0,Anderlecht (9)
?,(Sun) 4 Oct 1998 (39),Harelbeke (9),1-1,0-1,Lommel (9)
?,(Sun) 4 Oct 1998 (39),Kortrijk (9),2-2,1-2,Charleroi (9)
?,(Sat) 10 Oct 1998 (40),Anderlecht (10),3-1,3-0,Harelbeke (10)
?,(Sat) 10 Oct 1998 (40),Beveren (10),2-2,1-1,Kortrijk (10)
?,(Sat) 10 Oct 1998 (40),Charleroi (10),0-1,0-0,Aalst (10)
?,(Sat) 10 Oct 1998 (40),Club Brugge (10),1-1,1-0,Standard (10)
?,(Sat) 10 Oct 1998 (40),Germinal (10),2-2,2-0,Oostende (10)
