Date,Team 1,Team 2,FT,HT
2017-07-28,Antwerp,Anderlecht,0-0,0-0
2017-07-29,Charleroi,Kortrijk,1-0,1-0
2017-07-29,Eupen,Waregem,0-5,0-1
2017-07-29,Genk,Waasland-Beveren,3-3,0-1
2017-07-29,Lokeren,Club Brugge,0-4,0-3
2017-07-30,Mechelen,Standard,1-1,1-1
2017-07-30,Oostende,Mouscron,0-1,0-0
2017-07-30,St Truiden,Gent,3-2,0-1
2017-08-04,Standard,Genk,2-1,0-1
2017-08-05,Kortrijk,Lokeren,1-0,1-0
2017-08-05,Mouscron,Charleroi,2-5,1-3
2017-08-05,Waasland-Beveren,Mechelen,2-2,1-1
2017-08-05,Waregem,St Truiden,2-0,0-0
2017-08-06,Anderlecht,Oostende,1-0,0-0
2017-08-06,Club Brugge,Eupen,3-1,1-1
2017-08-06,Gent,Antwerp,0-1,0-1
2017-08-11,Waregem,Club Brugge,1-2,0-1
2017-08-12,Eupen,Kortrijk,1-2,0-1
2017-08-12,Lokeren,Mouscron,0-2,0-1
2017-08-12,Mechelen,Gent,1-1,0-1
2017-08-12,Oostende,Waasland-Beveren,0-3,0-3
2017-08-13,Antwerp,Genk,3-5,1-4
2017-08-13,Charleroi,Anderlecht,2-0,0-0
2017-08-13,St Truiden,Standard,1-0,0-0
2017-08-18,Standard,Waregem,0-4,0-0
2017-08-19,Eupen,Oostende,2-1,1-1
2017-08-19,Genk,Charleroi,0-1,0-0
2017-08-19,Mechelen,Antwerp,1-2,0-0
2017-08-19,Waasland-Beveren,Lokeren,2-3,0-3
2017-08-20,Anderlecht,St Truiden,2-3,1-1
2017-08-20,Kortrijk,Club Brugge,1-2,0-1
2017-08-20,Mouscron,Gent,3-2,0-2
2017-08-25,Kortrijk,Mouscron,1-1,1-0
2017-08-26,Charleroi,Waregem,3-2,0-1
2017-08-26,Genk,Mechelen,1-0,1-0
2017-08-26,Lokeren,Eupen,3-0,0-0
2017-08-26,St Truiden,Waasland-Beveren,1-0,0-0
2017-08-27,Club Brugge,Standard,4-0,2-0
2017-08-27,Gent,Anderlecht,0-0,0-0
2017-08-27,Oostende,Antwerp,3-4,1-0
2017-09-08,Anderlecht,Lokeren,3-2,1-2
2017-09-09,Antwerp,St Truiden,1-1,0-0
2017-09-09,Mouscron,Club Brugge,2-1,2-1
2017-09-09,Waasland-Beveren,Eupen,5-1,3-0
2017-09-09,Waregem,Kortrijk,2-2,1-2
2017-09-10,Gent,Genk,1-1,1-0
2017-09-10,Mechelen,Oostende,1-1,0-0
2017-09-10,Standard,Charleroi,0-0,0-0
2017-09-15,Club Brugge,Mechelen,2-0,2-0
2017-09-16,Charleroi,Waasland-Beveren,2-2,0-0
