Date,Team 1,Team 2,FT,HT
2005-08-05,Club Brugge,Mouscron,2-0,2-0
2005-08-06,Anderlecht,Louvieroise,6-0,3-0
2005-08-06,Beveren,FC Brussels,0-2,0-1
2005-08-06,Gent,Waregem,1-3,1-1
2005-08-06,Lokeren,Genk,1-1,0-0
2005-08-06,St Truiden,Roeselare,1-0,1-0
2005-08-06,Standard,Lierse,3-1,2-1
2005-08-06,Westerlo,Cercle Brugge,2-0,2-0
2005-08-07,Charleroi,Germinal,2-0,0-0
2005-08-12,Louvieroise,Gent,1-1,0-1
2005-08-13,FC Brussels,Club Brugge,1-1,1-1
2005-08-13,Germinal,Westerlo,0-1,0-0
2005-08-13,Mouscron,Lokeren,0-2,0-0
2005-08-14,Cercle Brugge,Anderlecht,0-2,0-1
2005-08-14,Genk,Charleroi,0-0,0-0
2005-08-14,Lierse,St Truiden,1-0,1-0
2005-08-14,Roeselare,Beveren,1-0,1-0
2005-08-14,Waregem,Standard,1-2,1-0
2005-08-20,Anderlecht,Germinal,3-1,2-1
2005-08-20,Beveren,Lierse,4-1,2-1
2005-08-20,Charleroi,Mouscron,1-0,0-0
2005-08-20,Club Brugge,Roeselare,1-0,1-0
2005-08-20,Gent,Cercle Brugge,1-0,0-0
2005-08-20,Waregem,Louvieroise,0-0,0-0
2005-08-20,Westerlo,Genk,1-1,1-1
2005-08-21,Lokeren,FC Brussels,1-0,1-0
2005-08-21,Standard,St Truiden,2-0,0-0
2005-08-26,St Truiden,Beveren,1-0,1-0
2005-08-27,Cercle Brugge,Waregem,2-4,0-2
2005-08-27,FC Brussels,Charleroi,2-2,1-1
2005-08-27,Germinal,Gent,2-1,1-0
2005-08-27,Lierse,Club Brugge,1-1,0-1
2005-08-27,Louvieroise,Standard,2-3,0-2
2005-08-27,Mouscron,Westerlo,1-0,0-0
2005-08-28,Genk,Anderlecht,3-3,0-1
2005-08-28,Roeselare,Lokeren,4-0,1-0
2005-09-10,Anderlecht,Mouscron,3-1,1-1
2005-09-10,Charleroi,Roeselare,1-1,1-1
2005-09-10,Club Brugge,St Truiden,2-1,1-1
2005-09-10,Gent,Genk,2-0,2-0
2005-09-10,Louvieroise,Cercle Brugge,0-0,0-0
2005-09-10,Waregem,Germinal,2-1,0-0
2005-09-10,Westerlo,FC Brussels,3-0,2-0
2005-09-11,Standard,Beveren,1-3,1-1
2005-09-16,Mouscron,Gent,1-2,1-2
2005-09-17,Cercle Brugge,Standard,0-3,0-2
2005-09-17,FC Brussels,Anderlecht,1-1,0-0
2005-09-17,Lierse,Charleroi,0-0,0-0
2005-09-17,St Truiden,Lokeren,1-2,0-0
2005-09-18,Beveren,Club Brugge,0-1,0-1
2005-09-18,Genk,Waregem,3-1,1-1
2005-09-18,Germinal,Louvieroise,1-1,1-1
2005-09-18,Roeselare,Westerlo,0-2,0-1
2005-09-20,Charleroi,St Truiden,0-1,0-0
2005-09-20,Gent,FC Brussels,2-1,2-0
2005-09-21,Anderlecht,Roeselare,5-1,3-0
2005-09-21,Cercle Brugge,Germinal,3-0,2-0
2005-09-21,Lokeren,Beveren,1-2,0-1
