Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 26 Jul 2013 (W30),Club Brugge (1),2-0,0-0,Sporting Charleroi (1)
?,(Sat) 27 Jul 2013 (W30),RAEC Mons (1),1-1,1-0,Cercle Brugge (1)
?,(Sat) 27 Jul 2013 (W30),KRC Genk (1),3-0,1-0,KV Oostende (1)
?,(Sat) 27 Jul 2013 (W30),KV Kortrijk (1),1-0,0-0,Oud-Heverlee Leuven (1)
?,(Sat) 27 Jul 2013 (W30),K Lierse SK (1),1-2,1-2,SV Zulte Waregem (1)
?,(Sat) 27 Jul 2013 (W30),Waasland-Beveren (1),1-1,0-0,KAA Gent (1)
?,(Sun) 28 Jul 2013 (W30),RSC Anderlecht (1),2-3,0-1,KSC Lokeren OV (1)
?,(Sun) 28 Jul 2013 (W30),KV Mechelen (1),0-2,0-0,Standard Liège (1)
?,(Fri) 2 Aug 2013 (W31),Cercle Brugge (2),0-4,0-2,RSC Anderlecht (2)
?,(Sat) 3 Aug 2013 (W31),Sporting Charleroi (2),1-1,0-0,Waasland-Beveren (2)
?,(Sat) 3 Aug 2013 (W31),KSC Lokeren OV (2),2-1,0-1,RAEC Mons (2)
?,(Sat) 3 Aug 2013 (W31),Oud-Heverlee Leuven (2),1-4,0-1,KRC Genk (2)
?,(Sat) 3 Aug 2013 (W31),SV Zulte Waregem (2),1-0,0-0,KV Kortrijk (2)
?,(Sun) 4 Aug 2013 (W31),KAA Gent (2),2-1,0-1,KV Mechelen (2)
?,(Sun) 4 Aug 2013 (W31),KV Oostende (2),1-2,1-1,Club Brugge (2)
?,(Sun) 4 Aug 2013 (W31),Standard Liège (2),3-0,2-0,K Lierse SK (2)
?,(Fri) 9 Aug 2013 (W32),KV Kortrijk (3),3-3,0-0,KSC Lokeren OV (3)
?,(Sat) 10 Aug 2013 (W32),RAEC Mons (3),1-2,1-0,Sporting Charleroi (3)
?,(Sat) 10 Aug 2013 (W32),K Lierse SK (3),1-1,1-0,Cercle Brugge (3)
?,(Sat) 10 Aug 2013 (W32),KV Oostende (3),1-1,0-1,Oud-Heverlee Leuven (3)
?,(Sat) 10 Aug 2013 (W32),Waasland-Beveren (3),0-0,0-0,KV Mechelen (3)
?,(Sun) 11 Aug 2013 (W32),RSC Anderlecht (3),4-1,2-0,KAA Gent (3)
?,(Sun) 11 Aug 2013 (W32),Club Brugge (3),1-1,1-0,SV Zulte Waregem (3)
?,(Sun) 11 Aug 2013 (W32),KRC Genk (3),0-2,0-1,Standard Liège (3)
?,(Sat) 17 Aug 2013 (W33),Cercle Brugge (4),2-0,2-0,KV Oostende (4)
?,(Sat) 17 Aug 2013 (W33),Sporting Charleroi (4),1-2,1-2,KV Kortrijk (4)
?,(Sat) 17 Aug 2013 (W33),KAA Gent (4),2-1,0-1,K Lierse SK (4)
?,(Sat) 17 Aug 2013 (W33),KSC Lokeren OV (4),3-1,1-0,KRC Genk (4)
?,(Sat) 17 Aug 2013 (W33),KV Mechelen (4),1-2,0-1,Club Brugge (4)
?,(Sat) 17 Aug 2013 (W33),SV Zulte Waregem (4),2-0,1-0,RAEC Mons (4)
?,(Sun) 18 Aug 2013 (W33),Standard Liège (4),1-0,0-0,Oud-Heverlee Leuven (4)
?,(Sun) 18 Aug 2013 (W33),Waasland-Beveren (4),0-3,0-0,RSC Anderlecht (4)
?,(Sat) 24 Aug 2013 (W34),KV Kortrijk (5),1-2,0-1,KV Mechelen (5)
?,(Sat) 24 Aug 2013 (W34),K Lierse SK (5),1-0,0-0,Waasland-Beveren (5)
?,(Sat) 24 Aug 2013 (W34),Oud-Heverlee Leuven (5),2-1,0-0,KSC Lokeren OV (5)
?,(Sun) 25 Aug 2013 (W34),RSC Anderlecht (5),5-2,2-1,Sporting Charleroi (5)
?,(Sun) 25 Aug 2013 (W34),RAEC Mons (5),0-2,0-1,Standard Liège (5)
?,(Sun) 25 Aug 2013 (W34),Club Brugge (5),1-1,1-1,KAA Gent (5)
?,(Sun) 25 Aug 2013 (W34),KRC Genk (5),1-0,1-0,Cercle Brugge (5)
?,(Sun) 25 Aug 2013 (W34),KV Oostende (5),1-1,1-1,SV Zulte Waregem (5)
?,(Sat) 31 Aug 2013 (W35),Cercle Brugge (6),1-1,0-0,Oud-Heverlee Leuven (6)
?,(Sat) 31 Aug 2013 (W35),KAA Gent (6),1-0,1-0,RAEC Mons (6)
?,(Sat) 31 Aug 2013 (W35),KSC Lokeren OV (6),1-0,0-0,KV Oostende (6)
?,(Sat) 31 Aug 2013 (W35),KV Mechelen (6),0-0,0-0,K Lierse SK (6)
?,(Sun) 1 Sep 2013 (W35),Sporting Charleroi (6),1-1,1-1,KRC Genk (6)
?,(Sun) 1 Sep 2013 (W35),Standard Liège (6),2-0,0-0,KV Kortrijk (6)
?,(Sun) 1 Sep 2013 (W35),Waasland-Beveren (6),1-2,0-1,Club Brugge (6)
