Stage,Round,Date,Team 1,FT,Team 2
Regular Season,5,Sat Sep 12 2020,Club Brugge,4-1,Waasland-Beveren
Regular Season,5,Sat Sep 12 2020,Oud-Heverlee Leuven,1-0,Standard Liège
Regular Season,5,Sun Sep 13 2020,RSC Anderlecht,2-0,Cercle Brugge
Regular Season,5,Sun Sep 13 2020,Sint-Truidense VV,2-3,Royal Antwerp FC
Regular Season,5,Sun Sep 13 2020,SV Zulte Waregem,0-2,Sporting Charleroi
Regular Season,5,Sun Sep 13 2020,KV Kortrijk,3-0,Royal Excel Mouscron
Regular Season,5,Mon Sep 14 2020,K. Beerschot VA,5-2,KRC Genk
Regular Season,6,Fri Sep 18 2020,Sporting Charleroi,3-1,K. Beerschot VA
Regular Season,6,Sat Sep 19 2020,KV Oostende,3-1,Oud-Heverlee Leuven
Regular Season,6,Sat Sep 19 2020,Royal Excel Mouscron,0-1,KAA Gent
Regular Season,6,Sat Sep 19 2020,Waasland-Beveren,2-4,RSC Anderlecht
Regular Season,6,Sun Sep 20 2020,SV Zulte Waregem,0-6,Club Brugge
Regular Season,6,Sun Sep 20 2020,Standard Liège,2-1,KV Kortrijk
Regular Season,6,Sun Sep 20 2020,Royal Antwerp FC,2-2,KAS Eupen
Regular Season,6,Sun Sep 20 2020,KRC Genk,3-1,KV Mechelen
Regular Season,6,Mon Sep 21 2020,Cercle Brugge,3-0,Sint-Truidense VV
Regular Season,7,Fri Sep 25 2020,KV Kortrijk,1-3,Royal Antwerp FC
Regular Season,7,Sat Sep 26 2020,KAA Gent,2-3,Oud-Heverlee Leuven
Regular Season,7,Sat Sep 26 2020,KV Mechelen,2-0,Sint-Truidense VV
Regular Season,7,Sat Sep 26 2020,K. Beerschot VA,3-2,Waasland-Beveren
Regular Season,7,Sun Sep 27 2020,Standard Liège,2-2,SV Zulte Waregem
Regular Season,7,Sun Sep 27 2020,RSC Anderlecht,1-1,KAS Eupen
Regular Season,7,Sun Sep 27 2020,Club Brugge,2-1,Cercle Brugge
Regular Season,7,Sun Sep 27 2020,Royal Excel Mouscron,1-1,Sporting Charleroi
Regular Season,7,Mon Sep 28 2020,KRC Genk,2-2,KV Oostende
Regular Season,8,Fri Oct 2 2020,Royal Antwerp FC,4-1,KV Mechelen
Regular Season,8,Sat Oct 3 2020,KAS Eupen,1-2,Cercle Brugge
Regular Season,8,Sat Oct 3 2020,Sint-Truidense VV,0-0,KV Kortrijk
Regular Season,8,Sat Oct 3 2020,Oud-Heverlee Leuven,2-1,SV Zulte Waregem
Regular Season,8,Sat Oct 3 2020,Waasland-Beveren,1-1,KRC Genk
Regular Season,8,Sun Oct 4 2020,Club Brugge,3-0,RSC Anderlecht
Regular Season,8,Sun Oct 4 2020,KAA Gent,5-1,K. Beerschot VA
Regular Season,8,Sun Oct 4 2020,Sporting Charleroi,1-2,Standard Liège
Regular Season,8,Sun Oct 4 2020,KV Oostende,3-0,Royal Excel Mouscron
Regular Season,9,Sat Oct 17 2020,Cercle Brugge,5-2,KAA Gent
Regular Season,9,Sat Oct 17 2020,K. Beerschot VA,6-3,Sint-Truidense VV
Regular Season,9,Sat Oct 17 2020,KV Mechelen,1-2,KV Kortrijk
Regular Season,9,Sat Oct 17 2020,Standard Liège,1-1,Club Brugge
Regular Season,9,Sun Oct 18 2020,SV Zulte Waregem,1-3,Royal Antwerp FC
Regular Season,9,Sun Oct 18 2020,Royal Excel Mouscron,0-2,KAS Eupen
Regular Season,9,Sun Oct 18 2020,RSC Anderlecht,2-2,Oud-Heverlee Leuven
Regular Season,9,Sun Oct 18 2020,KRC Genk,2-1,Sporting Charleroi
Regular Season,10,Fri Oct 23 2020,KV Kortrijk,1-3,RSC Anderlecht
Regular Season,10,Sat Oct 24 2020,Oud-Heverlee Leuven,2-1,Club Brugge
Regular Season,10,Sun Oct 25 2020,Sint-Truidense VV,2-0,Standard Liège
Regular Season,10,Sun Oct 25 2020,Royal Antwerp FC,3-2,K. Beerschot VA
Regular Season,10,Sun Oct 25 2020,KV Oostende,3-0,SV Zulte Waregem
Regular Season,10,Mon Oct 26 2020,KAA Gent,1-2,KRC Genk
Regular Season,11,Fri Oct 30 2020,KRC Genk,4-0,KAS Eupen
Regular Season,11,Sat Oct 31 2020,Sporting Charleroi,3-0,Cercle Brugge
Regular Season,11,Sat Oct 31 2020,K. Beerschot VA,4-2,Oud-Heverlee Leuven
Regular Season,11,Sat Oct 31 2020,Club Brugge,2-2,KV Mechelen
Regular Season,11,Sun Nov 1 2020,Standard Liège,1-0,KV Oostende
Regular Season,11,Sun Nov 1 2020,Waasland-Beveren,1-4,KAA Gent
Regular Season,11,Sun Nov 1 2020,RSC Anderlecht,1-0,Royal Antwerp FC
Regular Season,11,Mon Nov 2 2020,SV Zulte Waregem,1-1,KV Kortrijk
Regular Season,12,Fri Nov 6 2020,KV Mechelen,3-3,Sporting Charleroi
Regular Season,12,Sat Nov 7 2020,Sint-Truidense VV,1-2,KRC Genk
Regular Season,12,Sat Nov 7 2020,KAS Eupen,1-1,Waasland-Beveren
Regular Season,12,Sat Nov 7 2020,KV Kortrijk,5-5,K. Beerschot VA
Regular Season,12,Sun Nov 8 2020,Cercle Brugge,1-3,SV Zulte Waregem
Regular Season,12,Sun Nov 8 2020,Royal Antwerp FC,1-1,Standard Liège
Regular Season,12,Sun Nov 8 2020,KAA Gent,1-1,RSC Anderlecht
Regular Season,12,Sun Nov 8 2020,KV Oostende,1-3,Club Brugge
Regular Season,13,Sat Nov 21 2020,Standard Liège,,KAS Eupen
Regular Season,13,Sat Nov 21 2020,KV Oostende,,Royal Antwerp FC
Regular Season,13,Sat Nov 21 2020,Club Brugge,,KV Kortrijk
Regular Season,13,Sat Nov 21 2020,Waasland-Beveren,,Cercle Brugge
Regular Season,13,Sun Nov 22 2020,Sporting Charleroi,,KAA Gent
Regular Season,13,Sun Nov 22 2020,K. Beerschot VA,,RSC Anderlecht
Regular Season,13,Sun Nov 22 2020,SV Zulte Waregem,,KV Mechelen
Regular Season,13,Sun Nov 22 2020,KRC Genk,,Royal Excel Mouscron
Regular Season,13,Mon Nov 23 2020,Oud-Heverlee Leuven,,Sint-Truidense VV
Regular Season,9,Tue Nov 24 2020,Waasland-Beveren,,KV Oostende
Regular Season,10,Wed Nov 25 2020,Cercle Brugge,,Royal Excel Mouscron
Regular Season,14,Fri Nov 27 2020,KAS Eupen,,Sporting Charleroi
Regular Season,14,Sat Nov 28 2020,Cercle Brugge,,KRC Genk
Regular Season,14,Sat Nov 28 2020,KV Kortrijk,,KV Oostende
Regular Season,14,Sat Nov 28 2020,Royal Excel Mouscron,,Club Brugge
Regular Season,14,Sun Nov 29 2020,KV Mechelen,,K. Beerschot VA
Regular Season,14,Sun Nov 29 2020,KAA Gent,,SV Zulte Waregem
Regular Season,14,Sun Nov 29 2020,Sint-Truidense VV,,Waasland-Beveren
Regular Season,14,Sun Nov 29 2020,RSC Anderlecht,,Standard Liège
Regular Season,14,Mon Nov 30 2020,Royal Antwerp FC,,Oud-Heverlee Leuven
Regular Season,11,Tue Dec 1 2020,Royal Excel Mouscron,,Sint-Truidense VV
Regular Season,10,Wed Dec 2 2020,Sporting Charleroi,,Waasland-Beveren
Regular Season,10,Thu Dec 3 2020,KAS Eupen,,KV Mechelen
Regular Season,15,Fri Dec 4 2020,SV Zulte Waregem,,RSC Anderlecht
Regular Season,15,Sat Dec 5 2020,Club Brugge,,Sint-Truidense VV
Regular Season,15,Sat Dec 5 2020,Waasland-Beveren,,Royal Excel Mouscron
Regular Season,15,Sat Dec 5 2020,Sporting Charleroi,,KV Kortrijk
Regular Season,15,Sun Dec 6 2020,KV Oostende,,KAA Gent
Regular Season,15,Sun Dec 6 2020,KRC Genk,,Royal Antwerp FC
Regular Season,15,Sun Dec 6 2020,Standard Liège,,KV Mechelen
Regular Season,15,Sun Dec 6 2020,K. Beerschot VA,,KAS Eupen
Regular Season,15,Mon Dec 7 2020,Oud-Heverlee Leuven,,Cercle Brugge
Regular Season,12,Tue Dec 8 2020,Oud-Heverlee Leuven,,Royal Excel Mouscron
Regular Season,16,Fri Dec 11 2020,RSC Anderlecht,,KRC Genk
Regular Season,16,Sat Dec 12 2020,Cercle Brugge,,KV Oostende
Regular Season,16,Sat Dec 12 2020,Sint-Truidense VV,,Sporting Charleroi
Regular Season,16,Sat Dec 12 2020,KV Kortrijk,,Oud-Heverlee Leuven
Regular Season,16,Sat Dec 12 2020,Royal Excel Mouscron,,K. Beerschot VA
Regular Season,16,Sun Dec 13 2020,Royal Antwerp FC,,Club Brugge
Regular Season,16,Sun Dec 13 2020,KAS Eupen,,SV Zulte Waregem
Regular Season,16,Sun Dec 13 2020,KAA Gent,,Standard Liège
Regular Season,16,Sun Dec 13 2020,KV Mechelen,,Waasland-Beveren
Regular Season,17,Fri Dec 18 2020,Sporting Charleroi,,RSC Anderlecht
Regular Season,17,Sat Dec 19 2020,KV Oostende,,KAS Eupen
Regular Season,17,Sat Dec 19 2020,KRC Genk,,KV Kortrijk
Regular Season,17,Sat Dec 19 2020,SV Zulte Waregem,,Sint-Truidense VV
Regular Season,17,Sat Dec 19 2020,K. Beerschot VA,,Cercle Brugge
Regular Season,17,Sun Dec 20 2020,Club Brugge,,KAA Gent
Regular Season,17,Sun Dec 20 2020,Waasland-Beveren,,Royal Antwerp FC
Regular Season,17,Sun Dec 20 2020,Standard Liège,,Royal Excel Mouscron
Regular Season,17,Sun Dec 20 2020,Oud-Heverlee Leuven,,KV Mechelen
Regular Season,18,Wed Dec 23 2020,KV Mechelen,,Club Brugge
